LWCC_label	standard_station_label_TSG	depth_in_meter
PS99EG1#100m	PS99/051-2	100
PS99EG1#13m	PS99/051-2	13
PS99EG1#50m	PS99/051-2	50
PS99EG1#5m	PS99/051-2	5
PS99EG1#75m	PS99/051-2	75
PS99EG2#100m	PS99/050-1	100
PS99EG2#18m	PS99/050-1	18
PS99EG2#35m	PS99/050-1	35
PS99EG2#5m	PS99/050-1	5
PS99EG2#75m	PS99/050-1	75
PS99EG3#100m	PS99/049-1	100
PS99EG3#10m	PS99/049-1	10
PS99EG3#32m	PS99/049-1	32
PS99EG3#60m	PS99/049-1	60
PS99EG3#75m	PS99/049-1	75
PS99EG4#100m	PS99/048-11	100
PS99EG4#10m	PS99/048-11	10
PS99EG4#24m	PS99/048-11	24
PS99EG4#36m	PS99/048-11	36
PS99EG4#75m	PS99/048-11	75
PS99HG1#100m	PS99/066-2	100
PS99HG1#18m	PS99/066-2	18
PS99HG1#40m	PS99/066-2	40
PS99HG1#5m	PS99/066-2	5
PS99HG1#75m	PS99/066-2	75
PS99HG2#100m	PS99/057-1	100
PS99HG2#10m	PS99/057-1	10
PS99HG2#28m	PS99/057-1	28
PS99HG2#50m	PS99/057-1	50
PS99HG2#75m	PS99/057-1	75
PS99HG3#100m	PS99/069-2	100
PS99HG3#10m	PS99/069-2	10
PS99HG3#17m	PS99/069-2	17
PS99HG3#45m	PS99/069-2	45
PS99HG3#75m	PS99/069-2	75
PS99HG4#100m	PS99/042-1	100
PS99HG4#10m	PS99/042-1	10
PS99HG4#28m	PS99/042-1	28
PS99HG4#60m	PS99/042-1	60
PS99HG4#75m	PS99/042-1	75
PS99HG5#100m	PS99/044-1	100
PS99HG5#10m	PS99/044-1	10
PS99HG5#28m	PS99/044-1	28
PS99HG5#60m	PS99/044-1	60
PS99HG5#75m	PS99/044-1	75
PS99HG6#100m	PS99/045-1	100
PS99HG6#10m	PS99/045-1	10
PS99HG6#20m	PS99/045-1	20
PS99HG6#40m	PS99/045-1	40
PS99HG6#75m	PS99/045-1	75
PS99HG8#100m	PS99/047-1	100
PS99HG8#15m	PS99/047-1	15
PS99HG8#35m	PS99/047-1	35
PS99HG8#5m	PS99/047-1	5
PS99HG8#75m	PS99/047-1	75
PS99HGIX#100m	PS99/059-2	100
PS99HGIX#10m	PS99/059-2	10
PS99HGIX#24m	PS99/059-2	24
PS99HGIX#45m	PS99/059-2	45
PS99HGIX#75m	PS99/059-2	75
PS99N3#100m	PS99/054-1	100
PS99N3#10m	PS99/054-1	10
PS99N3#34m	PS99/054-1	34
PS99N3#60m	PS99/054-1	60
PS99N3#75m	PS99/054-1	75
PS99N4#100m	PS99/055-1	100
PS99N4#10m	PS99/055-1	10
PS99N4#22m	PS99/055-1	22
PS99N4#50m	PS99/055-1	50
PS99N4#75m	PS99/055-1	75
PS99N5#100m	PS99/053-2	100
PS99N5#15m	PS99/053-2	15
PS99N5#19m	PS99/053-2	19
PS99N5#60m	PS99/053-2	60
PS99SV1#100m	PS99/065-2	100
PS99SV1#18m	PS99/065-2	18
PS99SV1#45m	PS99/065-2	45
PS99SV1#5m	PS99/065-2	5
PS99SV1#90m	PS99/065-2	90
PS99SV2#100m	PS99/064-2	100
PS99SV2#10m	PS99/064-2	10
PS99SV2#33m	PS99/064-2	33
PS99SV2#60m	PS99/064-2	60
PS99SV2#75m	PS99/064-2	75
PS99SV3#100m	PS99/063-2	100
PS99SV3#10m	PS99/063-2	10
PS99SV3#17m	PS99/063-2	17
PS99SV3#50m	PS99/063-2	50
PS99SV3#75m	PS99/063-2	75
PS99SV4#100m	PS99/062-4	100
PS99SV4#10m	PS99/062-4	10
PS99SV4#23m	PS99/062-4	23
PS99SV4#50m	PS99/062-4	50
PS99SV4#75m	PS99/062-4	75
PS99_S3#100m	PS99/041-6	100
PS99_S3#10m	PS99/041-6	10
PS99_S3#28m	PS99/041-6	28
PS99_S3#60m	PS99/041-6	60
PS99_S3#75m	PS99/041-6	75
