LWCC_label	date	time
PS99#UW100	2016-06-28	12:06
PS99#UW101	2016-06-28	15:14
PS99#UW102	2016-06-28	18:00
PS99#UW103	2016-06-28	21:06
PS99#UW104	2016-06-29	0:05
PS99#UW105	2016-06-29	3:06
PS99#UW107	2016-06-29	10:02
PS99#UW108	2016-06-29	12:15
PS99#UW109	2016-06-29	15:18
PS99#UW110	2016-06-29	18:03
PS99#UW111	2016-06-29	21:09
PS99#UW112	2016-06-29	0:11
PS99#UW113	2016-06-30	2:38
PS99#UW114	2016-06-30	6:41
PS99#UW115	2016-06-30	9:16
PS99#UW116	2016-06-30	12:21
PS99#UW117	2016-06-30	15:37
PS99#UW118	2016-06-30	18:06
PS99#UW119	2016-06-30	21:15
PS99#UW120	2016-07-01	0:17
PS99#UW121	2016-07-01	4:03
PS99#UW122	2016-07-01	6:30
PS99#UW123	2016-07-01	9:21
PS99#UW124	2016-07-01	12:00
PS99#UW125	2016-07-01	15:12
PS99#UW126	2016-07-01	18:19
PS99#UW127	2016-07-01	21:23
PS99#UW129	2016-07-02	3:11
PS99#UW130	2016-07-02	6:01
PS99#UW132	2016-07-02	12:09
PS99#UW133	2016-07-02	15:20
PS99#UW134	2016-07-02	18:05
PS99#UW135	2016-07-02	21:00
PS99#UW136	2016-07-03	0:03
PS99#UW137	2016-07-03	3:06
PS99#UW138	2016-07-03	6:58
PS99#UW139	2016-07-03	8:59
PS99#UW140	2016-07-03	12:10
PS99#UW141	2016-07-03	15:01
PS99#UW142	2016-07-03	18:08
PS99#UW143	2016-07-03	20:59
PS99#UW144	2016-07-04	0:05
PS99#UW145	2016-07-04	3:04
PS99#UW146	2016-07-04	6:34
PS99#UW147	2016-07-04	9:14
PS99#UW148	2016-07-04	12:12
PS99#UW149	2016-07-04	15:08
PS99#UW150	2016-07-04	18:06
PS99#UW151	2016-07-04	21:21
PS99#UW152	2016-07-05	0:10
PS99#UW153	2016-07-05	3:00
PS99#UW154	2016-07-05	6:01
PS99#UW155	2016-07-05	9:35
PS99#UW156	2016-07-05	12:07
PS99#UW157	2016-07-05	15:10
PS99#UW158	2016-07-05	18:05
PS99#UW159	2016-07-05	21:10
PS99#UW160	2016-07-06	0:17
PS99#UW161	2016-07-06	3:05
PS99#UW162	2016-07-06	6:30
PS99#UW163	2016-07-06	9:26
PS99#UW164	2016-07-06	12:22
PS99#UW165	2016-07-06	15:35
PS99#UW166	2016-07-06	18:14
PS99#UW167	2016-07-06	21:06
PS99#UW168	2016-07-07	0:02
PS99#UW169	2016-07-07	2:59
PS99#UW170	2016-07-07	6:30
PS99#UW171	2016-07-07	9:15
PS99#UW172	2016-07-07	12:37
PS99#UW173	2016-07-07	15:59
PS99#UW174	2016-07-07	18:14
PS99#UW175	2016-07-07	22:12
PS99#UW176	2016-07-08	0:04
PS99#UW177	2016-07-08	3:12
PS99#UW178	2016-07-08	6:58
PS99#UW179	2016-07-08	9:27
PS99#UW180	2016-07-08	12:05
PS99#UW181	2016-07-08	15:08
PS99#UW182	2016-07-08	18:06
PS99#UW183	2016-07-10	0:07
PS99#UW187	2016-07-10	12:36
PS99#UW188	2016-07-10	15:42
PS99#UW190	2016-07-10	21:09
PS99#UW191	2016-07-11	0:11
PS99#UW192	2016-07-11	3:10
PS99#UW193	2016-07-11	6:32
PS99#UW194	2016-07-11	9:28
PS99#UW195	2016-07-11	13:06
PS99#UW196	2016-07-11	16:02
PS99#UW197	2016-07-11	18:05
PS99#UW198	2016-07-11	21:12
PS99#UW199	2016-07-12	0:06
PS99#UW201	2016-07-12	6:03
PS99#UW202	2016-07-12	9:14
PS99#UW203	2016-07-12	12:27
PS99#UW204	2016-07-12	15:12
PS99#UW205	2016-07-12	18:32
PS99#UW206	2016-07-12	21:02
PS99#UW207	2016-07-12	0:34
PS99#UW208	2016-07-12	3:08
PS99#UW209	2016-07-12	6:02
PS99#UW70	2016-06-24	18:29
PS99#UW71	2016-06-24	21:05
PS99#UW72	2016-06-25	0:05
PS99#UW73	2016-06-25	3:05
PS99#UW74	2016-06-25	6:03
PS99#UW75	2016-06-25	9:23
PS99#UW76	2016-06-25	12:26
PS99#UW77	2016-06-25	15:10
PS99#UW78	2016-06-25	18:06
PS99#UW79	2016-06-25	21:04
PS99#UW80	2016-06-26	0:13
PS99#UW81	2016-06-26	3:10
PS99#UW82	2016-06-26	6:32
PS99#UW83	2016-06-26	9:17
PS99#UW84	2016-06-26	12:10
PS99#UW85	2016-06-26	15:04
PS99#UW86	2016-06-26	18:00
PS99#UW87	2016-06-26	21:18
PS99#UW88	2016-06-27	0:08
PS99#UW89	2016-06-27	3:28
PS99#UW90	2016-06-27	6:22
PS99#UW91	2016-06-27	9:19
PS99#UW92	2016-06-27	12:20
PS99#UW93	2016-06-27	15:04
PS99#UW94	2016-06-27	18:03
PS99#UW95	2016-06-27	21:09
PS99#UW96	2016-06-28	0:13
PS99#UW97	2016-06-28	4:01
PS99#UW98	2016-06-28	6:35
PS99#UW99	2016-06-28	9:27
