LWCC_label_original	LWCC_label_modified
PS99#119	PS99#UW119
PS99#120	PS99#UW120
PS99#121	PS99#UW121
PS99#122	PS99#UW122
PS99#123	PS99#UW123
PS99EG4#10m	PS99EG4#10m
PS99EG4#24m	PS99EG4#24m
PS99EG4#36m	PS99EG4#36m
PS99EG4#75m	PS99EG4#75m
PS99EG4#100m	PS99EG4#100m
PS99EG3#10m	PS99EG3#10m
PS99EG3#32m	PS99EG3#32m
PS99EG3#60m	PS99EG3#60m
PS99EG3#75m	PS99EG3#75m
PS99EG3#100m	PS99EG3#100m
PS99#124	PS99#UW124
PS99#125	PS99#UW125
PS99EG1#100m	PS99EG1#100m
PS99EG1#75m	PS99EG1#75m
PS99EG1#50m	PS99EG1#50m
PS99EG1#13m	PS99EG1#13m
PS99EG1#5m	PS99EG1#5m
PS99#133	PS99#UW133
PS99#134	PS99#UW134
PS99#126	PS99#UW126
PS99#127	PS99#UW127
PS99#129	PS99#UW129
PS99#130	PS99#UW130
PS99#132	PS99#UW132
PS99#139	PS99#UW139
PS99#140	PS99#UW140
PS99#141	PS99#UW141
PS99#142	PS99#UW142
PS99#143	PS99#UW143
PS99N5#100m	PS99N5#100m
PS99N5#60m	PS99N5#60m
PS99N5#19m	PS99N5#19m
PS99N5#15m	PS99N5#15m
PS99#salt	PS99#salt
PS99#135	PS99#UW135
PS99#132	PS99#UW132
PS99#136	PS99#UW136
PS99#137	PS99#UW137
PS99#138	PS99#UW138
PS99EG2#5m	PS99EG2#5m
PS99EG2#18m	PS99EG2#18m
PS99EG2#35m	PS99EG2#35m
PS99EG2#75m	PS99EG2#75m
PS99EG2#100m	PS99EG2#100m
PS99EG2#salt	PS99EG2#salt
PS99#144	PS99#UW144
PS99#145	PS99#UW145
PS99#146	PS99#UW146
PS99#147	PS99#UW147
PS99#148	PS99#UW148
PS99#152	PS99#UW152
PS99#153	PS99#UW153
PS99#154	PS99#UW154
PS99#155	PS99#UW155
PS99#156	PS99#UW156
PS99#157	PS99#UW157
PS99#158	PS99#UW158
PS99#149	PS99#UW149
PS99#150	PS99#UW150
PS99#151	PS99#UW151
PS99N4#10m	PS99N4#10m
PS99N4#22m	PS99N4#22m
PS99N4#50m	PS99N4#50m
PS99N4#75m	PS99N4#75m
PS99N4#100m	PS99N4#100m
PS99N3#10m	PS99N3#10m
PS99N3#34m	PS99N3#34m
PS99N3#60m	PS99N3#60m
PS99N3#75m	PS99N3#75m
PS99N3#100m	PS99N3#100m
PS99#152	PS99#UW152
PS99#159	PS99#UW159
PS99#160	PS99#UW160
PS99#161	PS99#UW161
PS99#162	PS99#UW162
PS99#163	PS99#UW163
PS99#164	PS99#UW164
PS99HG2#10m	PS99HG2#10m
PS99HG2#28m	PS99HG2#28m
PS99HG2#50m	PS99HG2#50m
PS99HG2#75m	PS99HG2#75m
PS99HG2#100m	PS99HG2#100m
PS99HGIX#10m	PS99HGIX#10m
PS99HGIX#24m	PS99HGIX#24m
PS99HGIX#45m	PS99HGIX#45m
PS99HGIX#75m	PS99HGIX#75m
PS99HGIX#100m	PS99HGIX#100m
PS99#165	PS99#UW165
PS99#166	PS99#UW166
PS99#167	PS99#UW167
PS99#168	PS99#UW168
PS99#169	PS99#UW169
PS99#170	PS99#UW170
PS99#171	PS99#UW171
PS99#172	PS99#UW172
PS99#173	PS99#UW173
PS99#174	PS99#UW174
PS99#salt	PS99#salt
PS99#175	PS99#UW175
PS99#176	PS99#UW176
PS99#177	PS99#UW177
PS99#178	PS99#UW178
PS99#179	PS99#UW179
PS99#180	PS99#UW180
PS99#181	PS99#UW181
PS99#182	PS99#UW182
PS99SV4#100m	PS99SV4#100m
PS99SV4#75m	PS99SV4#75m
PS99SV4#50m	PS99SV4#50m
PS99SV4#10m	PS99SV4#10m
PS99SV4#23m	PS99SV4#23m
PS99SV4#salt	PS99SV4#salt
PS99#183	PS99#UW183
PS99SV3#100m	PS99SV3#100m
PS99SV3#75m	PS99SV3#75m
PS99SV3#50m	PS99SV3#50m
PS99SV3#17m	PS99SV3#17m
PS99SV3#10m	PS99SV3#10m
PS99HG1#100m	PS99HG1#100m
PS99HG1#75m	PS99HG1#75m
PS99HG1#40m	PS99HG1#40m
PS99HG1#18m	PS99HG1#18m
PS99HG1#5m	PS99HG1#5m
PS99#187	PS99#UW187
PS99#188	PS99#UW188
PS99HG3#100m	PS99HG3#100m
PS99HG3#75m	PS99HG3#75m
PS99HG3#45m	PS99HG3#45m
PS99HG3#17m	PS99HG3#17m
PS99HG3#10m	PS99HG3#10m
PS99#190	PS99#UW190
PS99#191	PS99#UW191
PS99#192	PS99#UW192
PS99#193	PS99#UW193
PS99#194	PS99#UW194
PS99SV1#100m	PS99SV1#100m
PS99SV1#90m	PS99SV1#90m
PS99SV1#45m	PS99SV1#45m
PS99SV1#18m	PS99SV1#18m
PS99SV1#5m	PS99SV1#5m
PS99SV2#100m	PS99SV2#100m
PS99SV2#75m	PS99SV2#75m
PS99SV2#60m	PS99SV2#60m
PS99SV2#33m	PS99SV2#33m
PS99SV2#10m	PS99SV2#10m
PS99#195	PS99#UW195
PS99#196	PS99#UW196
PS99#197	PS99#UW197
PS99#198	PS99#UW198
PS99#199	PS99#UW199
PS99#201	PS99#UW201
PS99#202	PS99#UW202
PS99#203	PS99#UW203
PS99#204	PS99#UW204
PS99#205	PS99#UW205
PS99#206	PS99#UW206
PS99#207	PS99#UW207
PS99#208	PS99#UW208
PS99#209	PS99#UW209
PS99#salt	PS99#salt
PS99#70	PS99#UW70
PS99#71	PS99#UW71
PS99#72	PS99#UW72
PS99#73	PS99#UW73
PS99#74	PS99#UW74
PS99#75	PS99#UW75
PS99#76	PS99#UW76
PS99_S3#10m	PS99_S3#10m
PS99_S3#28m	PS99_S3#28m
PS99_S3#60m	PS99_S3#60m
PS99_S3#75m	PS99_S3#75m
PS99_S3#100m	PS99_S3#100m
PS99#salt1_25061	PS99#salt1_25061
PS99#salt2_25061	PS99#salt2_25061
PS99#77	PS99#UW77
PS99#78	PS99#UW78
PS99#79	PS99#UW79
PS99#80	PS99#UW80
PS99#81	PS99#UW81
PS99#82	PS99#UW82
PS99#salt1_26061	PS99#salt1_26061
PS99#salt2_26061	PS99#salt2_26061
PS99#83	PS99#UW83
PS99#84	PS99#UW84
PS99#85	PS99#UW85
PS99#86	PS99#UW86
PS99#91	PS99#UW91
PS99#92	PS99#UW92
PS99#93	PS99#UW93
PS99#94	PS99#UW94
PS99HG4#100m	PS99HG4#100m
PS99HG4#75m	PS99HG4#75m
PS99HG4#60m	PS99HG4#60m
PS99HG4#28m	PS99HG4#28m
PS99HG4#10m	PS99HG4#10m
PS99#90	PS99#UW90
PS99#89	PS99#UW89
PS99#88	PS99#UW88
PS99#87	PS99#UW87
PS99HG5#100m	PS99HG5#100m
PS99HG5#75m	PS99HG5#75m
PS99HG5#60m	PS99HG5#60m
PS99HG5#28m	PS99HG5#28m
PS99HG5#10m	PS99HG5#10m
PS99#95	PS99#UW95
PS99#96	PS99#UW96
PS99#97	PS99#UW97
PS99#98	PS99#UW98
PS99#99	PS99#UW99
PS99#100	PS99#UW100
PS99HG6#10m	PS99HG6#10m
PS99HG6#20m	PS99HG6#20m
PS99HG6#40m	PS99HG6#40m
PS99HG6#75m	PS99HG6#75m
PS99HG6#100m	PS99HG6#100m
PS99HG6#salt	PS99HG6#salt
PS99#107	PS99#UW107
PS99#108	PS99#UW108
PS99#109	PS99#UW109
PS99#110	PS99#UW110
PS99#101	PS99#UW101
PS99#102	PS99#UW102
PS99#103	PS99#UW103
PS99#104	PS99#UW104
PS99#105	PS99#UW105
PS99HG8#5m	PS99HG8#5m
PS99HG8#15m	PS99HG8#15m
PS99HG8#35m	PS99HG8#35m
PS99HG8#75m	PS99HG8#75m
PS99HG8#100m	PS99HG8#100m
PS99#111	PS99#UW111
PS99#112	PS99#UW112
PS99#113	PS99#UW113
PS99#114	PS99#UW114
PS99#115	PS99#UW115
PS99#116	PS99#UW116
PS99#117	PS99#UW117
PS99#118	PS99#UW118
